date,open,high,low,close,volume,adj_close,adj_open,adj_high,adj_low,open_change,open_change_perc,close_change,close_change_perc,high_change,high_change_perc,low_change,low_change_perc,high_above_5_perc,high_above_10_perc,low_below_5_perc,low_below_10_perc,days_to_drop_to_prev_close,days_to_rise_to_prev_close
12/15/2014,32.29,34.37,31.44,33.05,97350100,33.05,32.29,34.37,31.44,-1.60,-0.03,-0.84,-0.02,0.48,0.01,-2.45,-0.07,,,1,,0,0
12/12/2014,33.51,34.11,31.85,33.89,91946900,33.89,33.51,34.11,31.85,1.37,0.04,1.75,0.05,1.97,0.06,-0.29,0.01,1,,,,0,0
12/11/2014,29.92,32.19,28.65,32.14,75528200,32.14,29.92,32.19,28.65,-0.41,-0.01,1.81,0.06,1.86,0.06,-1.68,-0.04,1,,,,0,0
12/10/2014,27.96,30.37,27.85,30.33,63356400,30.33,27.96,30.37,27.85,0.52,0.02,2.89,0.11,2.93,0.11,0.41,0.01,1,1,,,+3,0
12/09/2014,28.51,29.00,27.21,27.44,47342900,27.44,28.51,29.00,27.21,1.46,0.05,0.39,0.01,1.95,0.07,0.16,0.01,1,,,,+4,0
12/08/2014,26.25,27.41,25.83,27.05,36867900,27.05,26.25,27.41,25.83,0.15,0.01,0.95,0.04,1.31,0.05,-0.27,-0.01,1,,,,0,0
12/05/2014,26.11,26.32,25.64,26.10,28147500,26.10,26.11,26.32,25.64,-0.43,0.00,-0.44,0.00,-0.22,0.01,-0.90,-0.03,,,,,0,1
12/04/2014,26.83,27.33,26.27,26.54,25755900,26.54,26.83,27.33,26.27,0.31,0.01,0.02,0.00,0.81,0.03,-0.25,0.01,,,,,0,0
12/03/2014,26.62,26.83,26.40,26.52,21936400,26.52,26.62,26.83,26.40,-0.35,-0.01,-0.45,0.00,-0.14,0.01,-0.57,-0.02,,,,,0,1
12/02/2014,28.52,28.53,26.92,26.97,30708400,26.97,28.52,28.53,26.92,-0.05,0.00,-1.60,-0.04,-0.04,0.00,-1.65,-0.04,,,,,0,5
12/01/2014,27.94,28.81,27.84,28.57,37050700,28.57,27.94,28.81,27.84,0.54,0.02,1.17,0.04,1.41,0.05,0.44,0.02,1,,,,1,0
11/28/2014,26.78,27.48,26.60,27.40,19726100,27.40,26.78,27.48,26.60,0.08,0.00,0.70,0.03,0.78,0.03,-0.10,0.00,,,,,0,0
11/26/2014,27.14,27.19,26.59,26.70,16550100,26.70,27.14,27.19,26.59,0.02,0.00,-0.42,0.00,0.07,0.00,-0.53,0.00,,,,,0,0
11/25/2014,27.18,27.51,27.03,27.12,20105300,27.12,27.18,27.51,27.03,-0.13,0.00,-0.19,0.01,0.20,0.01,-0.28,-0.01,,,,,0,0
11/24/2014,27.64,27.80,27.28,27.31,20657400,27.31,27.64,27.80,27.28,-0.28,-0.01,-0.61,-0.02,-0.12,0.00,-0.64,-0.02,,,,,0,4
11/21/2014,27.62,28.15,27.60,27.92,32225100,27.92,27.62,28.15,27.60,-0.86,-0.03,-0.56,0.00,-0.33,-0.01,-0.88,-0.03,,,,,0,5
11/20/2014,29.29,29.37,28.33,28.48,23072200,28.48,29.29,29.37,28.33,0.51,0.02,-0.30,-0.01,0.59,0.02,-0.45,0.00,,,,,0,0
11/19/2014,28.46,29.05,28.31,28.78,25770900,28.78,28.46,29.05,28.31,0.36,0.01,0.68,0.02,0.95,0.03,0.21,0.01,,,,,2,0
11/18/2014,28.41,28.43,27.73,28.10,25145900,28.10,28.41,28.43,27.73,-0.19,0.01,-0.50,0.00,-0.17,0.01,-0.87,-0.03,,,,,0,1
11/17/2014,28.91,29.11,28.29,28.60,22932300,28.60,28.91,29.11,28.29,0.25,0.01,-0.06,0.00,0.45,0.02,-0.37,-0.01,,,,,0,0
11/14/2014,28.73,29.26,28.55,28.66,25706400,28.66,28.73,29.26,28.55,0.16,0.01,0.09,0.00,0.69,0.02,-0.02,0.00,,,,,0,0
11/13/2014,28.35,29.38,27.99,28.57,35902700,28.57,28.35,29.38,27.99,0.07,0.00,0.29,0.01,1.10,0.04,-0.29,-0.01,,,,,0,0
11/12/2014,28.59,28.64,27.96,28.28,24632800,28.28,28.59,28.64,27.96,0.69,0.02,0.38,0.01,0.74,0.03,0.06,0.00,,,,,4,0
11/11/2014,27.76,28.48,27.63,27.90,20639800,27.90,27.76,28.48,27.63,-0.13,0.00,0.01,0.00,0.59,0.02,-0.26,0.01,,,,,0,0
11/10/2014,28.87,28.96,27.70,27.89,29875200,27.89,28.87,28.96,27.70,-0.16,0.01,-1.14,-0.02,-0.07,0.00,-1.33,-0.03,,,,,0,3
11/07/2014,29.39,29.75,28.96,29.03,28614000,29.03,29.39,29.75,28.96,-0.06,0.00,-0.42,-0.01,0.30,0.01,-0.49,0.00,,,,,0,0
11/06/2014,30.02,30.59,29.32,29.45,29832700,29.45,30.02,30.59,29.32,-0.22,0.01,-0.79,-0.01,0.35,0.01,-0.92,-0.03,,,,,0,0
11/05/2014,30.03,30.79,30.01,30.24,25787700,30.24,30.03,30.79,30.01,-0.59,0.00,-0.38,-0.01,0.17,0.01,-0.61,0.00,,,,,0,0
11/04/2014,31.06,31.91,30.53,30.62,32786500,30.62,31.06,31.91,30.53,0.25,0.01,-0.19,0.01,1.10,0.04,-0.28,0.01,,,,,0,0
11/03/2014,30.28,31.17,30.13,30.81,25471700,30.81,30.28,31.17,30.13,-0.04,0.00,0.49,0.02,0.85,0.03,-0.19,0.01,,,,,0,0
10/31/2014,30.14,30.83,30.10,30.32,32548700,30.32,30.14,30.83,30.10,-1.00,-0.03,-0.82,-0.01,-0.31,0.01,-1.04,-0.03,,,,,0,1
10/30/2014,31.68,32.16,30.50,31.14,45749100,31.14,31.68,32.16,30.50,0.66,0.02,0.12,0.00,1.14,0.04,-0.52,0.00,,,,,0,0
10/29/2014,30.59,31.95,30.42,31.02,66461300,31.02,30.59,31.95,30.42,0.09,0.00,0.52,0.02,1.45,0.05,-0.08,0.00,1,,,,0,0
10/28/2014,32.19,32.23,30.48,30.50,37170100,30.50,32.19,32.23,30.48,-0.48,-0.01,-2.17,-0.05,-0.44,-0.01,-2.19,-0.05,,,1,,0,32
10/27/2014,33.67,34.29,32.51,32.67,44688400,32.67,33.67,34.29,32.51,0.50,0.01,-0.50,-0.01,1.12,0.03,-0.66,0.00,,,,,0,0
10/24/2014,33.48,35.33,32.91,33.17,65856900,33.17,33.48,35.33,32.91,0.00,0.00,-0.31,0.01,1.85,0.06,-0.57,0.00,1,,,,0,0
10/23/2014,33.35,34.07,32.54,33.48,72839600,33.48,33.35,34.07,32.54,-2.17,-0.06,-2.04,-0.04,-1.45,-0.04,-2.98,-0.08,,,1,,0,+36
10/22/2014,32.70,35.72,32.29,35.52,92956000,35.52,32.70,35.72,32.29,-0.29,0.01,2.53,0.08,2.73,0.08,-0.70,-0.02,1,,,,0,0
10/21/2014,34.28,34.56,32.78,32.99,56711200,32.99,34.28,34.56,32.78,-1.32,-0.02,-2.61,-0.07,-1.04,-0.01,-2.82,-0.06,,,1,,0,1
10/20/2014,38.80,39.01,35.54,35.60,60314100,35.60,38.80,39.01,35.54,0.22,0.01,-2.98,-0.06,0.43,0.01,-3.04,-0.06,,,1,,0,0
10/17/2014,37.53,39.42,36.90,38.58,94399700,38.58,37.53,39.42,36.90,-2.80,-0.05,-1.75,-0.04,-0.91,-0.02,-3.43,-0.08,,,1,,0,+40
10/16/2014,44.26,44.60,39.36,40.33,124342700,40.33,44.26,44.60,39.36,4.85,0.12,0.92,0.02,5.19,0.13,-0.05,0.00,1,1,,,0,0
10/15/2014,41.58,44.25,39.18,39.41,156704400,39.41,41.58,44.25,39.18,2.65,0.07,0.48,0.01,5.32,0.14,0.25,0.01,1,1,,,2,0
10/14/2014,38.49,40.44,36.50,38.93,124255100,38.93,38.49,40.44,36.50,-1.07,-0.01,-0.63,0.00,0.88,0.02,-3.06,-0.06,,,1,,0,0
10/13/2014,35.24,39.66,34.64,39.56,106666900,39.56,35.24,39.66,34.64,-0.61,0.00,3.71,0.10,3.81,0.11,-1.21,-0.03,1,1,,,0,0
10/10/2014,32.41,35.89,31.74,35.85,105625700,35.85,32.41,35.89,31.74,0.20,0.01,3.64,0.11,3.68,0.11,-0.47,-0.01,1,1,,,0,0
10/09/2014,29.92,32.33,29.72,32.21,86099000,32.21,29.92,32.33,29.72,0.37,0.01,2.66,0.09,2.78,0.09,0.17,0.01,1,,,,20,0
10/08/2014,32.42,32.70,29.43,29.55,65966100,29.55,32.42,32.70,29.43,0.15,0.00,-2.72,-0.08,0.43,0.01,-2.84,-0.07,,,1,,0,0
